"","HT","commune","crop","system","area","yield","CropPrice","HiredLabor","FamilyLab","PriceHrdLab","PriceFamLab","rentedMachCosts","InputCosts"
"84","H4","SC","smze","irr",220,31.67,71733,9.16,0,9867,9867,26833333,448933
"85","H4","SC","soy","irr",40,38,41400,11.44,0,9600,9600,3e+06,386000
"86","H4","SC","wht","irr",30,109,12500,4.34,0,10000,10000,2868000,298600
"87","H5","CAU","oat","dry",38.3,21.5,12150,0.87,4.09,7265,6965,84125,132645
"88","H5","CAU","chk","dry",3,14,50000,2.5,7.25,7000,7000,0,114950
"89","H5","CAU","len","dry",1.5,20,1e+05,0,6.33,7000,7000,0,231500
"90","H5","CAU","mze","irr",0.5,12.5,10000,4,0,6000,6000,15000,232000
"91","H5","CAU","mze","dry",1,3,15000,0,22,6000,5000,0,63500
"92","H5","CAU","wht","dry",172.8,22.14,12845,0.39,5.04,6896,6825,119905,152463
"93","H5","PAR","oat","dry",1,40,30000,0,1,10000,10000,80000,195000
"94","H5","SC","mze","irr",0.5,80,12000,0,20,8000,8000,107500,367000
"95","H5","SC","wht","irr",1,50,14000,0,12,8000,8000,150000,302000
